GISJOIN,STATENAM,totpop,blkpop,blkpop_cat
G010,Alabama,5024279,1296162,"750,000 AND OVER"
G020,Alaska,733391,21898,"10,000 - 25,000"
G040,Arizona,7151502,339150,"300,000 - 500,000"
G050,Arkansas,3011524,453783,"300,000 - 500,000"
G060,California,39538223,2237044,"750,000 AND OVER"
G080,Colorado,5773714,234828,"200,000 - 300,000"
G090,Connecticut,3605944,388675,"300,000 - 500,000"
G100,Delaware,989948,218899,"200,000 - 300,000"
G110,District of Columbia,689545,285810,"200,000 - 300,000"
G120,Florida,21538187,3246381,"750,000 AND OVER"
G130,Georgia,10711908,3320513,"750,000 AND OVER"
G150,Hawaii,1455271,23417,"10,000 - 25,000"
G160,Idaho,1839106,15726,"10,000 - 25,000"
G170,Illinois,12812508,1808271,"750,000 AND OVER"
G180,Indiana,6785528,648513,"600,000 - 750,000"
G190,Iowa,3190369,131972,"100,000 - 200,000"
G200,Kansas,2937880,168809,"100,000 - 200,000"
G210,Kentucky,4505836,362417,"300,000 - 500,000"
G220,Louisiana,4657757,1464023,"750,000 AND OVER"
G230,Maine,1362359,25752,"25,000 - 50,000"
G240,Maryland,6177224,1820472,"750,000 AND OVER"
G250,Massachusetts,7029917,494029,"300,000 - 500,000"
G260,Michigan,10077331,1376579,"750,000 AND OVER"
G270,Minnesota,5706494,398434,"300,000 - 500,000"
G280,Mississippi,2961279,1084481,"750,000 AND OVER"
G290,Missouri,6154913,699840,"600,000 - 750,000"
G300,Montana,1084225,5484,"UNDER - 10,000"
G310,Nebraska,1961504,96535,"50,000 - 100,000"
G320,Nevada,3104614,304739,"300,000 - 500,000"
G330,New Hampshire,1377529,20127,"10,000 - 25,000"
G340,New Jersey,9288994,1219770,"750,000 AND OVER"
G350,New Mexico,2117522,45904,"25,000 - 50,000"
G360,New York,20201249,2986172,"750,000 AND OVER"
G370,North Carolina,10439388,2140217,"750,000 AND OVER"
G380,North Dakota,779094,26783,"25,000 - 50,000"
G390,Ohio,11799448,1478781,"750,000 AND OVER"
G400,Oklahoma,3959353,289961,"200,000 - 300,000"
G410,Oregon,4237256,82655,"50,000 - 100,000"
G420,Pennsylvania,13002700,1423169,"750,000 AND OVER"
G440,Rhode Island,1097379,62168,"50,000 - 100,000"
G450,South Carolina,5118425,1280531,"750,000 AND OVER"
G460,South Dakota,886667,17842,"10,000 - 25,000"
G470,Tennessee,6910840,1092948,"750,000 AND OVER"
G480,Texas,29145505,3552997,"750,000 AND OVER"
G490,Utah,3271616,40058,"25,000 - 50,000"
G500,Vermont,643077,9034,"UNDER - 10,000"
G510,Virginia,8631393,1607581,"750,000 AND OVER"
G530,Washington,7705281,307565,"300,000 - 500,000"
G540,West Virginia,1793716,65813,"50,000 - 100,000"
G550,Wisconsin,5893718,376256,"300,000 - 500,000"
G560,Wyoming,576851,5232,"UNDER - 10,000"
G720,Puerto Rico,3285874,228711,"200,000 - 300,000"
